"filename", "language", "Properties", "JSON with Comments", "TypeScript", "JSON", "Solidity", "JavaScript", "TypeScript JSX", "CSS", "Markdown", "Git Commit Message", "comment", "blank", "total"
"c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-GuideDAO\ERC2612\crypto\ECDSA.sol\ECDSA.json", "JSON", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 1, 11
"c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-GuideDAO\ERC2612\crypto\EIP712.sol\EIP712.dbg.json", "JSON", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-GuideDAO\ERC2612\crypto\EIP712.sol\EIP712.json", "JSON", 0, 0, 0, 102, 0, 0, 0, 0, 0, 0, 0, 1, 103
"c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-GuideDAO\ERC2612\utils\Counters.sol\Counters.dbg.json", "JSON", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-GuideDAO\ERC2612\utils\Counters.sol\Counters.json", "JSON", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 1, 11
"c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-GuideDAO\ERC2612\utils\Math.sol\Math.dbg.json", "JSON", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-GuideDAO\ERC2612\utils\Math.sol\Math.json", "JSON", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 1, 11
"c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-GuideDAO\ERC2612\utils\ShortStrings.sol\ShortStrings.dbg.json", "JSON", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-GuideDAO\ERC2612\utils\ShortStrings.sol\ShortStrings.json", "JSON", 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 1, 28
"c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-GuideDAO\ERC2612\utils\SignedMath.sol\SignedMath.dbg.json", "JSON", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-GuideDAO\ERC2612\utils\SignedMath.sol\SignedMath.json", "JSON", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 1, 11
